title,genres,rating,revenue,budget,runtime,release_year,vote_count,metascore,studio,language
Velvet Pulse 001 Returns,"Crime, Romance",6.0,165399009.2,59430164.9,96.0,2020,158583,59.0,Blue Harbor,Korean
Infinite Mirage 002,"Crime, Adventure",6.6,410181176.9,89137514.11,130.0,2024,189119,64.0,Aurora Motion,Japanese
Electric Mirage 003 Reborn,Crime,7.4,232316813.45,61577993.16,121.0,2014,425933,,Vista Peak,English
Neon Harbor 004 Reborn,Adventure,7.5,803816091.93,121710670.18,129.0,2011,176236,75.0,EchoWorks,English
Crystal Voyage 005 II,Action,7.2,852747751.77,130204149.18,109.0,2018,218989,67.0,Solaris Pictures,English
Last Kingdom 006,"Horror, Drama",7.2,225930859.6,40552001.96,117.0,2020,102204,68.0,Aurora Motion,English
Neon Season 007 Rising,Animation,7.8,711500621.31,90563663.25,95.0,2025,211330,74.0,Silverline,English
Shadow Circuit 008 Rising,"Crime, Adventure",7.4,412212451.13,82724894.14,124.0,2008,253355,72.0,Silverline,English
Broken Harbor 009 Returns,Thriller,6.3,201538790.38,59195936.08,106.0,2012,277602,66.0,Atlas Vision,Spanish
Last City 010 Rising,Adventure,,647706536.42,117819625.58,114.0,2009,118251,71.0,EchoWorks,English
Neon Formula 011,"Action, Comedy",7.5,492321893.82,88959940.31,128.0,2020,229583,66.0,Twin Lantern,English
Scarlet Archive 012,"Action, Thriller",7.0,442840929.35,70219576.54,130.0,2018,431113,86.0,Solaris Pictures,English
Shadow Frontier 013,Drama,7.3,74528495.44,26982257.62,131.0,2017,108340,66.0,Blue Harbor,Korean
Silver Kingdom 014 II,"Horror, Action",5.9,253684323.36,64512679.23,99.0,2013,110682,71.0,Silverline,Vietnamese
Electric Echo 015 II,Crime,6.8,211639946.65,54266274.53,,2013,113658,59.0,Aurora Motion,Spanish
Fallen Kingdom 016,Comedy,6.4,221304590.96,48948885.02,122.0,2024,163912,72.0,Northlight,English
Burning Harbor 017 II,"Adventure, Drama",6.8,262238608.44,54073177.72,128.0,2016,116760,,Northlight,Korean
Golden Labyrinth 018 Returns,Crime,6.5,107853884.92,39821855.13,104.0,2010,101990,70.0,Blue Harbor,Spanish
Golden Legacy 019 Reborn,Comedy,6.9,319595790.96,63049640.86,125.0,2025,143525,66.0,Aurora Motion,English
Electric City 020 Rising,Thriller,6.3,355727255.42,85783203.0,107.0,2009,93463,59.0,Aurora Motion,French
Crystal Harbor 021 Reborn,Drama,7.1,110957475.77,18876540.59,106.0,2025,84407,,Twin Lantern,French
Golden Voyage 022 Rising,Action,7.1,931403313.92,118371518.78,,2021,147926,68.0,,English
Infinite Archive 023 Rising,Action,7.0,847191400.19,,120.0,2017,301345,,Vista Peak,French
Wild Empire 024,Adventure,8.3,1065088900.18,160653509.54,142.0,2023,362219,76.0,Atlas Vision,Spanish
Silver Archive 025 Rising,Romance,6.3,121507039.25,38179566.09,103.0,2019,133094,60.0,Silverline,French
Silent Archive 026,Comedy,6.8,255256851.93,48177223.58,103.0,2017,56916,68.0,Silverline,English
Midnight Legacy 027,Fantasy,7.7,789612800.46,88979788.9,128.0,2021,444357,,Northlight,English
Electric Archive 028 Rising,"Animation, Fantasy",7.6,631580665.54,70290534.78,108.0,2022,290261,79.0,Twin Lantern,English
Hidden Circuit 029 Rising,"Horror, Drama, Romance",6.9,55938561.94,11753087.4,92.0,2017,56249,64.0,Solaris Pictures,English
Last Formula 030 Returns,"Horror, Crime",6.4,32527275.75,,114.0,2016,33700,72.0,Vista Peak,Korean
Velvet Labyrinth 031,Sci-Fi,7.3,,122219216.07,112.0,2013,226693,74.0,Vista Peak,Japanese
Golden Harbor 032,Sci-Fi,7.7,,121641511.45,124.0,2014,458860,80.0,Aurora Motion,Korean
Hidden City 033,Drama,7.5,97849365.56,29761410.24,135.0,2015,48495,64.0,Maple Frame,Japanese
Fallen Orbit 034 Rising,Thriller,6.5,286606479.65,52978364.54,116.0,2024,195345,65.0,Atlas Vision,English
Infinite Storm 035,Horror,6.1,101287536.83,36769512.56,103.0,2008,101359,65.0,Twin Lantern,French
Shadow Empire 036 II,Horror,6.4,96797522.2,16872086.81,,2012,161347,63.0,Aurora Motion,English
Midnight Frontier 037 Rising,"Adventure, Animation",8.2,783300050.83,113464530.35,93.0,2009,277964,83.0,Solaris Pictures,English
Neon Labyrinth 038 II,Thriller,7.0,226180791.63,40222901.02,108.0,2011,140897,71.0,Maple Frame,Korean
Shadow Labyrinth 039,"Thriller, Adventure",7.1,603362791.97,78639524.46,141.0,2025,482270,71.0,Vista Peak,Korean
Crystal Empire 040,Comedy,5.5,70104588.71,16387785.12,93.0,2018,67867,52.0,Maple Frame,English
Scarlet Orbit 041,,8.0,392922291.71,56893347.29,94.0,2017,145782,79.0,Blue Harbor,English
Silent Mirage 042 II,Horror,5.8,131093111.35,29745424.46,105.0,2024,176135,60.0,Blue Harbor,English
Electric Kingdom 043,"Action, Romance",7.7,260552483.38,50588905.06,130.0,2020,96201,,Solaris Pictures,English
Wild Formula 044,"Fantasy, Comedy",6.8,317520818.43,71790594.51,124.0,2021,197852,70.0,Twin Lantern,English
Neon Season 045 II,"Thriller, Adventure",6.7,,106268785.06,135.0,2008,233696,75.0,,English
Shadow Circuit 046 Returns,Animation,8.0,483498680.46,78302116.28,82.0,2024,121650,68.0,,Korean
Last Formula 047 Returns,"Action, Comedy",7.1,543377269.73,97723293.54,123.0,2017,269844,82.0,Silverline,French
Silent City 048,Crime,6.7,152381525.31,45752121.28,115.0,2018,151016,66.0,Blue Harbor,English
Infinite Echo 049 Reborn,"Crime, Comedy, Drama",,241239889.84,44776355.39,102.0,2020,139296,79.0,EchoWorks,Japanese
Neon Storm 050,"Horror, Romance, Action",6.1,355117917.99,94951337.55,100.0,2024,226647,69.0,Vista Peak,Japanese
Electric Storm 051 II,Action,6.7,759634933.93,101940754.28,121.0,2023,314480,55.0,EchoWorks,English
Broken Signal 052 Rising,"Sci-Fi, Romance",6.1,246743085.36,82065788.55,123.0,2009,111447,62.0,Aurora Motion,Japanese
Brave Formula 053 Rising,"Action, Animation",6.9,717482924.3,132621219.28,114.0,2012,294607,71.0,EchoWorks,English
Electric Frontier 054 Rising,"Comedy, Romance",5.7,76614316.7,30205153.22,104.0,2020,91789,55.0,Silverline,Japanese
Silent Voyage 055,"Thriller, Animation",7.0,414380307.71,63928147.08,113.0,2009,67927,67.0,Blue Harbor,English
Velvet Kingdom 056 II,Action,7.0,693895483.74,109357149.54,143.0,2014,191787,59.0,Northlight,Spanish
Neon City 057 Rising,Comedy,,166163471.59,53677203.04,82.0,2019,204802,58.0,Blue Harbor,Spanish
Silver Frontier 058,Drama,7.3,161508218.96,44978656.54,128.0,2010,172070,79.0,Twin Lantern,Japanese
Broken Empire 059 II,Drama,7.1,184313693.15,,112.0,2024,183076,76.0,Northlight,English
Brave Mirage 060 Reborn,Crime,7.8,267070377.65,51380116.22,112.0,2008,83571,76.0,Northlight,English
Last Labyrinth 061 II,Comedy,7.0,137910581.3,,94.0,2009,126396,61.0,Maple Frame,French
Hidden Mirage 062 II,Comedy,5.8,34083012.05,8000000.0,96.0,2022,145188,59.0,Solaris Pictures,Japanese
Midnight Harbor 063,Action,7.1,571458595.89,121621922.16,130.0,2022,352148,59.0,,English
Midnight Kingdom 064 II,"Action, Romance",7.2,544073442.14,109856701.4,114.0,2018,146414,71.0,EchoWorks,Vietnamese
Wild Signal 065,Horror,6.7,,37390347.84,102.0,2017,211487,,Vista Peak,English
Golden Frontier 066 Returns,Fantasy,8.0,797766259.3,125272699.15,138.0,2014,280217,86.0,EchoWorks,English
Last Archive 067,Thriller,6.8,226648652.03,51078451.99,134.0,2014,209853,68.0,Blue Harbor,English
Wild Orbit 068 Returns,Drama,7.6,241535023.39,47201992.66,94.0,2019,123322,81.0,Northlight,English
Fallen Signal 069 Reborn,Comedy,7.3,259624135.47,51827040.62,122.0,2020,129269,,Atlas Vision,English
Burning Formula 070 Rising,Action,6.7,800941895.27,130606151.02,131.0,2022,291768,,Aurora Motion,Spanish
Infinite Circuit 071 Returns,Crime,7.2,91762562.59,21486787.24,116.0,2009,87167,55.0,Solaris Pictures,Spanish
Wild Legacy 072 Reborn,"Horror, Action",7.6,868328524.81,99194735.11,108.0,2009,521009,75.0,Silverline,English
Neon Voyage 073,"Drama, Comedy",6.8,234627069.68,58941961.66,106.0,2014,229551,,Silverline,English
Crystal Voyage 074 II,"Animation, Action, Horror",6.5,383075822.08,79844991.39,119.0,2020,94388,61.0,Atlas Vision,English
Silent Kingdom 075 Reborn,"Drama, Crime, Action",7.0,295248269.87,72444919.39,119.0,2021,166417,75.0,Maple Frame,English
Golden Empire 076 II,Drama,6.5,26147820.75,8000000.0,107.0,2009,55089,61.0,Aurora Motion,English
Broken Empire 077 Reborn,"Animation, Comedy",7.1,375846177.04,73514450.7,102.0,2018,364952,82.0,Silverline,French
Crystal City 078 Returns,Comedy,6.3,,55000477.6,120.0,2012,248377,70.0,Northlight,English
Electric Mirage 079,"Sci-Fi, Horror, Crime",6.8,526993632.57,98879147.84,117.0,2014,186341,67.0,Aurora Motion,English
Midnight Kingdom 080,Adventure,7.6,901091136.42,108418218.64,133.0,2025,246428,80.0,Solaris Pictures,English
Fallen Pulse 081 Reborn,Thriller,4.8,159850651.67,58891943.25,88.0,2022,184258,41.0,Atlas Vision,Korean
Electric Labyrinth 082 Reborn,"Horror, Adventure",6.1,337249916.3,68358488.09,108.0,2022,159783,52.0,Solaris Pictures,English
Electric Mirage 083 II,Drama,7.7,136112993.44,42016196.33,105.0,2020,74620,73.0,EchoWorks,English
Neon Pulse 084,Fantasy,7.3,612024496.77,101738956.13,102.0,2025,249223,70.0,Twin Lantern,English
Midnight Labyrinth 085 Rising,"Comedy, Drama",7.1,212099888.98,55302811.69,114.0,2011,212284,65.0,Northlight,English
Golden Orbit 086,"Drama, Action",7.9,272347734.98,59273364.44,116.0,2010,67282,71.0,Northlight,English
Neon Legacy 087 Reborn,Fantasy,7.2,586572826.38,100688861.67,129.0,2021,76722,58.0,Atlas Vision,Vietnamese
Wild City 088 Returns,,6.7,621863478.63,103732900.03,120.0,2013,346113,63.0,Silverline,English
Infinite Echo 089 Returns,Drama,,69083288.52,24278177.76,111.0,2013,125102,71.0,Northlight,English
Silver City 090 Rising,Animation,7.6,770581447.73,,102.0,2021,242697,74.0,Aurora Motion,English
Neon Season 091,Comedy,7.4,179792528.94,53190426.97,106.0,2018,127180,71.0,Twin Lantern,English
Golden Frontier 092 II,"Sci-Fi, Thriller",6.9,439406771.36,89387544.65,123.0,2010,199935,69.0,Aurora Motion,English
Brave Echo 093 Reborn,Drama,7.8,204506639.9,38153101.28,120.0,2008,85560,76.0,Blue Harbor,English
Last Labyrinth 094 Reborn,Comedy,6.9,235153869.04,55770246.85,93.0,2025,201092,59.0,Silverline,Japanese
Crystal Signal 095 II,"Crime, Sci-Fi",7.2,501165801.52,88336563.35,134.0,2013,161856,65.0,Atlas Vision,Japanese
Silver Signal 096 II,Drama,7.3,253280746.98,69884142.36,114.0,2015,60226,67.0,Atlas Vision,English
Infinite Voyage 097,"Animation, Horror",,262989726.56,53401663.94,121.0,2015,46014,64.0,Vista Peak,English
Wild Kingdom 098,Romance,7.4,,33313040.96,113.0,2009,83989,77.0,Twin Lantern,Spanish
Midnight Signal 099 II,,7.0,863715660.53,103461308.34,102.0,2021,134109,83.0,Maple Frame,English
Velvet Voyage 100,Animation,7.4,431373039.08,70038664.3,82.0,2008,114497,73.0,Silverline,English
Midnight Empire 101 II,"Action, Comedy",7.0,400616353.78,79308441.32,125.0,2009,167252,74.0,Silverline,English
Wild Season 102 Rising,Fantasy,6.4,577782232.62,121728538.16,103.0,2011,192099,66.0,Silverline,English
Hidden Voyage 103 Reborn,Comedy,7.1,165085678.83,50355199.28,101.0,2008,123959,54.0,Solaris Pictures,English
Silver Formula 104 Reborn,"Horror, Crime",6.3,242338579.82,,113.0,2019,197036,58.0,Blue Harbor,Vietnamese
Infinite Empire 105,Crime,7.2,60515285.0,,120.0,2016,55239,74.0,Vista Peak,English
Midnight Kingdom 106,,6.6,199727298.37,63807710.62,102.0,2023,65386,64.0,Maple Frame,English
Silver Circuit 107 Returns,"Drama, Comedy",7.0,255795620.64,55440904.67,135.0,2017,113579,69.0,Vista Peak,English
Hidden Legacy 108 Reborn,"Sci-Fi, Drama",8.1,502505602.33,88683984.51,139.0,2021,161233,82.0,Atlas Vision,Korean
Infinite Pulse 109 Returns,"Action, Horror",5.5,147891473.46,34428922.62,122.0,2018,114931,46.0,Aurora Motion,English
Scarlet Kingdom 110 Reborn,Horror,6.4,28266838.19,8000000.0,107.0,2018,33796,59.0,Aurora Motion,English
Golden Voyage 111,Horror,6.2,159302408.72,35569391.26,82.0,2024,70262,44.0,Aurora Motion,French
Brave Voyage 112 Rising,Comedy,6.5,284668912.01,78052065.12,112.0,2022,86813,71.0,Silverline,English
Burning Labyrinth 113,Crime,6.3,246758818.9,,114.0,2016,214762,,Northlight,Vietnamese
Infinite Mirage 114,Drama,7.3,344298686.41,86793419.49,107.0,2022,233543,74.0,Twin Lantern,English
Electric Formula 115 Returns,"Comedy, Sci-Fi",7.2,393280961.67,76948133.97,99.0,2008,207775,74.0,Aurora Motion,English
Wild Voyage 116 Rising,Action,7.4,820999019.04,93802236.14,123.0,2018,240510,,Vista Peak,French
Midnight Mirage 117 Reborn,"Romance, Thriller, Action",7.2,245297435.58,75561620.8,118.0,2011,199349,78.0,Aurora Motion,English
Golden Orbit 118,Action,7.1,609569211.99,105441778.53,116.0,2014,158020,78.0,Northlight,Vietnamese
Golden Circuit 119,Crime,6.4,206716948.66,65359837.18,131.0,2014,135278,60.0,Silverline,English
Last Legacy 120,"Adventure, Horror",5.8,773593732.51,106135173.15,125.0,2024,422670,52.0,Twin Lantern,English
Brave Formula 121,"Drama, Adventure",7.3,650808957.9,99221352.95,108.0,2022,310211,76.0,Vista Peak,English
Electric Echo 122 Reborn,Crime,,178731428.43,53497921.9,82.0,2011,77068,75.0,Maple Frame,English
Fallen Labyrinth 123 Returns,"Action, Thriller",6.7,610869995.26,115795921.81,111.0,2022,199886,65.0,Solaris Pictures,French
Broken Mirage 124,"Comedy, Drama",6.6,235615139.1,58833290.32,101.0,2019,184852,71.0,Solaris Pictures,English
Neon Season 125,"Action, Adventure",5.8,548712294.67,,122.0,2018,218156,48.0,Silverline,English
Velvet Storm 126 Rising,"Horror, Fantasy, Adventure",,421252480.31,91471721.09,117.0,2013,214874,56.0,Vista Peak,English
